,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,Seabirds - Divers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Seabirds - Surface feeders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Baleen whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Toothed cetaceans / Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Pelagic sharks,0,0,0,0.02262169,0.000836556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009294541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Piscivorous dem. Elasmobranchs,0,0,0,0.003437794,0.009289728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Benthivorous dem. elasmobranchs,0,0,0,0.004651196,0,0.000895002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Sea bass,0,0,0,0,0,0,0,0.0216433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Anglerfish adult,0,0,0,0.0478831,0.01184013,0,0,0,0.000523489,0,0.006048667,0,0.002254208,0,0.001218649,0,0,0.006480985,0,0,0.001120133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Anglerfish juvenile,0,0,0,0,0,0,0,0,0.000136898,0,0.000232789,0.000587401,0.000693447,0,0.000189079,0,0,0.000137472,0,0,0.000963407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000285682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Hake adult,0,0,0,0.007076114,0.001714183,0,0,0,0.005005838,0,0.004099793,0,0,0,0,0,0,0.000339351,0,0,0.02514677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Hake juvenile,0,0,0,0,0,0,0,0.00043976,0.000976949,0.002463768,0.02035051,0.001676755,0.001979467,0.00166939,0.00067663,0,0,0.000981046,0,0,0.001217495,0,0,0,0,0,0.000550867,0,0,0,0,0,0,0,0.000509681,0.001389947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Cod adult,0,0,0,0.002296094,0.007982176,0.000842086,0,0,0.007584593,0,0,0,0,0,0.002090165,0,0,0,0,0,0.00431035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Cod juvenile,0,0,0,0,0.006605889,0.000262244,0,0,0.002513801,0.00209372,0,0,0,0,0.00069215,0,0,0.001998912,0,0,0.001644681,0.00107491,0,0,0,0,0.000501755,0,0,0,0,0,0,0,0.000210813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Whiting,0,0,0,0.000209748,0.002869875,0.000133136,0.0044694,0.001031764,0.02641559,0.005352507,0.000714621,0.001813034,0.007267574,0.002339067,0.003371983,0,0,0.000381517,0,0,0.02244034,0.001911031,0,0,0,0,0.00585101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Haddock,0,0,0,0,0.009719986,0.007988935,0.006668903,0,0.005111027,0.00235286,0,0,0.01437924,0.004199625,0.01556891,0,0,0.006998356,0,0,0.002755374,0.00188958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pouts,0,0,0,0.1303409,0.20684235,0.15330418,0.12710484,0.114155,0.26592447,0.26041511,0.09923095,0.02155554,0.14664297,0.05657,0.24118521,0.001616776,0.016167442,0.1150134,0,0,0.15512205,0.024988724,0,0,0,0,0,0,0,0,0,0,0.001597135,0,0.12628869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Megrim,0,0,0,0,0,0,0,0,0.0287981,0.006997033,0.003919455,0,0.01163958,0.003038577,0,0,0,0.007857788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Sole,0,0,0,0,0,0,0,0.01235838,0.002697506,0,0,0,0.009371284,0.00502793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Plaice,0,0,0,0.001360518,0,0.001078441,0,0.005902569,0.001249807,0,0,0,0.009641391,0.001833853,0,0,0,0.001438262,0,0,0.000405381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Piscivorous demersal fish,0,0,0,0.026927795,0.006208817,0,0,0.001984253,0.040557488,0,0,0,0.001395883,0,0,0,0,0,0,0,0.016413674,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004768618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
